|HOUR|MONTH|COLLISION_COUNT|
|----|-----|---------------|
|16  |6    |1,678          |
|17  |6    |1,637          |
|16  |5    |1,632          |
|17  |5    |1,624          |
|16  |9    |1,529          |
|16  |10   |1,524          |
|14  |6    |1,514          |
|17  |12   |1,495          |
|16  |3    |1,457          |
|17  |7    |1,433          |
|14  |5    |1,418          |
|16  |7    |1,418          |
|16  |8    |1,414          |
|17  |9    |1,412          |
|17  |3    |1,407          |
|14  |10   |1,403          |
|17  |11   |1,388          |
|15  |6    |1,385          |
|17  |10   |1,385          |
|15  |5    |1,375          |
|18  |6    |1,374          |
|16  |4    |1,373          |
|17  |8    |1,370          |
|18  |12   |1,355          |
|14  |3    |1,354          |
|16  |12   |1,342          |
|14  |12   |1,338          |
|17  |4    |1,324          |
|15  |10   |1,323          |
|18  |5    |1,314          |
|14  |11   |1,311          |
|14  |7    |1,310          |
|14  |8    |1,308          |
|15  |9    |1,298          |
|16  |11   |1,292          |
|18  |7    |1,281          |
|13  |6    |1,273          |
|15  |3    |1,268          |
|14  |4    |1,260          |
|15  |7    |1,259          |
|8   |3    |1,258          |
|14  |9    |1,249          |
|17  |1    |1,240          |
|8   |10   |1,239          |
|13  |8    |1,233          |
|18  |11   |1,232          |
|15  |8    |1,223          |
|8   |5    |1,210          |
|16  |1    |1,206          |
|8   |11   |1,198          |
|14  |1    |1,198          |
|18  |1    |1,193          |
|13  |5    |1,190          |
|15  |12   |1,190          |
|19  |6    |1,188          |
|15  |11   |1,186          |
|18  |8    |1,170          |
|13  |7    |1,169          |
|13  |10   |1,169          |
|12  |5    |1,164          |
|13  |12   |1,161          |
|18  |4    |1,152          |
|12  |6    |1,151          |
|9   |10   |1,150          |
|8   |6    |1,147          |
|9   |11   |1,141          |
|9   |5    |1,135          |
|13  |9    |1,132          |
|9   |3    |1,131          |
|11  |6    |1,128          |
|13  |3    |1,124          |
|19  |10   |1,123          |
|15  |4    |1,119          |
|12  |7    |1,111          |
|12  |10   |1,111          |
|18  |10   |1,111          |
|13  |11   |1,108          |
|16  |2    |1,108          |
|9   |9    |1,104          |
|11  |7    |1,104          |
|18  |3    |1,102          |
|11  |5    |1,098          |
|8   |9    |1,097          |
|12  |9    |1,095          |
|12  |12   |1,090          |
|14  |2    |1,090          |
|12  |3    |1,079          |
|13  |4    |1,077          |
|13  |1    |1,068          |
|10  |5    |1,060          |
|18  |9    |1,056          |
|11  |8    |1,052          |
|12  |8    |1,045          |
|11  |11   |1,041          |
|12  |11   |1,040          |
|15  |1    |1,040          |
|8   |12   |1,038          |
|9   |6    |1,036          |
|11  |12   |1,029          |
|19  |12   |1,029          |
|10  |6    |1,026          |
|10  |9    |1,024          |
|8   |1    |1,021          |
|10  |11   |1,011          |
|15  |2    |1,009          |
|19  |11   |1,007          |
|10  |10   |1,004          |
|11  |9    |1,003          |
|9   |12   |1,001          |
|10  |3    |986            |
|11  |10   |981            |
|8   |2    |979            |
|17  |2    |976            |
|9   |7    |974            |
|10  |12   |974            |
|10  |7    |973            |
|10  |8    |970            |
|19  |7    |970            |
|12  |4    |967            |
|11  |3    |958            |
|19  |5    |958            |
|9   |2    |942            |
|9   |1    |941            |
|18  |2    |940            |
|9   |8    |938            |
|11  |1    |934            |
|19  |3    |931            |
|12  |1    |930            |
|19  |8    |928            |
|8   |4    |923            |
|8   |7    |923            |
|8   |8    |922            |
|11  |2    |908            |
|13  |2    |908            |
|10  |4    |901            |
|19  |1    |898            |
|10  |1    |894            |
|19  |9    |881            |
|20  |10   |861            |
|11  |4    |856            |
|9   |4    |855            |
|20  |12   |853            |
|12  |2    |851            |
|10  |2    |839            |
|20  |9    |837            |
|20  |11   |832            |
|19  |4    |829            |
|19  |2    |828            |
|20  |6    |812            |
|0   |6    |801            |
|20  |8    |778            |
|20  |3    |777            |
|0   |5    |772            |
|20  |5    |767            |
|20  |4    |763            |
|0   |8    |760            |
